model_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
dense_cnn,fa,6,True,11.429394738470313,12.326054904257077,12.903747259143842,0.11541177507602321,0.7349314144337136,0.11832931757300683,0.7964149820065258,./logs/0321091401/best_model_4_0.h5
dense_cnn,0.0,10,,10.543879606030668,10.97089182341048,11.835191268075564,0.12409952945872915,1.3720936042872451,0.11934617117865698,0.9185039087430364,./logs\0320182249\best_model_0_0.h5
cnn,,10,,7.095058399170692,9.49666413422694,12.470025143828911,0.05599654588214339,0.6086500596627976,0.12245220150522425,0.7932330491057867,./logs\0320182641\best_model_0_0.h5
cnn,tca,14,False,9.717457872953057,11.446036716306615,12.11362188931734,0.08351511227969402,0.6446268203563194,0.12993461120441852,0.8511466752819516,./logs/0321091239/best_model_11_2.h5
dense_cnn,tca,30,True,10.875657949470929,11.741634939603452,12.191406398499524,0.280435364344216,3.195128247915928,0.13791512526430233,0.8955631035487753,./logs/0321091401/best_model_23_2.h5
cnn,tca,26,False,9.267920828433269,10.53731575015754,12.573648826508364,0.08342179755662588,0.6654403355892985,0.13907124621115394,0.8781198118764879,./logs/0321091239/best_model_20_2.h5
dense_cnn,pca,18,True,11.684990945191329,12.19710283318314,11.89228173053382,0.2858148783250569,3.316689102976049,0.14047999226827468,1.8877182880912027,./logs/0321091401/best_model_12_3.h5
cnn,tca,10,False,10.645144565284994,12.11418257706033,11.778145790274518,0.1100692625985492,0.6932412685572826,0.14143846441351296,0.8903648689162886,./logs/0321091239/best_model_8_2.h5
cnn,fa,26,False,11.746091470798188,12.4844684425257,13.547897555409115,0.14808866690743802,0.8807939644034041,0.14293055362751528,0.8484322212954897,./logs/0321091239/best_model_19_2.h5
dense_cnn,fa,30,True,9.983535736654984,10.801522936839863,12.474705884667669,0.15905928427731075,2.250879427830148,0.14303249362308634,2.002009753833401,./logs/0321091401/best_model_22_2.h5
cnn,tca,6,False,11.822683257983575,12.43518385829622,11.940342930218119,0.13390036100675998,0.8524134850795081,0.14613149040254422,0.8769704098479881,./logs/0321091239/best_model_5_2.h5
dense_cnn,fa,10,True,10.838874291083512,11.424879673699795,11.835445539167864,0.13514285888206046,1.864188191613531,0.1688636812037362,2.2648726833854163,./logs/0321091401/best_model_7_1.h5
dense_cnn,fa,14,True,9.866893272515865,10.67829897242986,11.737522957773344,0.0870513401527014,0.6932255600458699,0.2211192945337765,2.8734620971816227,./logs/0321091401/best_model_10_0.h5
